field,2021(Đã kiểm toán),2020(Đã kiểm toán),2019(Đã kiểm toán),2018(Đã kiểm toán),2017(Đã kiểm toán),2016(Đã kiểm toán),2015(Đã kiểm toán),2014(Đã kiểm toán),2013(Đã kiểm toán),2012(Đã kiểm toán),2011(Đã kiểm toán),2010(Đã kiểm toán),2009(Đã kiểm toán),2008(Đã kiểm toán),2007(Đã kiểm toán)
TÀI SẢN,,,,,,,,,,,,,,,
A: Tài sản ngắn hạn,5354610509760,4496050828524,4971363590401,3989369447153,2142716548893,1361646469010,1071561008455,694379216896,495024996352,433003102208,294682034176,284629991424,222826250240,143553708032,100276944896
I. Tiền và tương đương tiền,1988170740182,963717122052,291674680985,645474843425,509577636533,406676809154,470061718120,336807723008,130266726400,103421042688,32921081856,20196093952,77821763584,3681470720,8973522944
1. Tiền,1156983447299,237314356418,233349201535,217635249378,120809634969,121149572757,242393182850,122985046016,113266720768,13247925248,32921081856,20196093952,77821763584,3681470720,8973522944
2. Các khoản tương đương tiền,831187292883,726402765634,58325479450,427839594047,388768001564,285527236397,227668535270,213822668800,16999999488,90173120512,,,,,
II. Giá trị thuần đầu tư ngắn hạn,436156000000,758600000000,1251822102192,720906460274,50000000000,,,30000001024,,,,,,,8171211776
1. Đầu tư ngắn hạn,,,59670020000,,,,,,,,,,,,8171211776
2. Dự phòng đầu tư ngắn hạn,,,,,,,,,,,,,,,
III. Các khoản phải thu,1795468441466,1669170204812,2079278885563,1612785115376,961381022420,455567565640,363509670487,179292635136,146942394368,93812817920,110425882624,161949974528,84576403456,90092765184,42683768832
1. Phải thu khách hàng,1136560751303,593031603446,726708606479,691606956768,417516053153,221225458631,103363445699,122485776384,76666093568,55926136832,88920383488,73478963200,47669096448,22624432128,16520367104
2. Trả trước người bán,369721515275,790942957319,635624680580,531565397491,325870456358,184015378614,169259565534,4571974144,55117291520,34357487616,18639523840,67557855232,35853594624,62030295040,26139107328
3. Phải thu nội bộ,,,,,,,,,,,,,,,
4. Phải thu về XDCB,,,,,,,,,,,,,,,
5. Phải thu khác,215105974668,254298459186,180282631655,95914591448,88265512909,51025438748,91048764635,52396580864,15159004160,3529195520,2865973760,21006456832,1122735104,5438033408,24294156
6. Dự phòng nợ khó đòi,-10826199780,-11746705700,,,,-698710353,-162105381,-162105376,,,,-93310344,-69026128,,
"IV. Hàng tồn kho, ròng",997384835429,946809379604,1221502966657,862749230434,536681725193,450591281857,214186555570,137522085888,200025997312,195577708544,125598982144,80619241472,48690499584,39977627648,35275722752
1. Hàng tồn kho,997384835429,947201357809,1221855436361,865499747965,536681725193,450591281857,214186555570,137522085888,200025997312,195577708544,125598982144,80619241472,48690499584,39977627648,35275722752
2. Dự phòng giảm giá HTK,,-391978205,-352469704,-2750517531,,,,,,,,,,,
V. Tài sản lưu động khác,137430492683,157754122056,127084955004,147453797644,85076164747,48810812359,23803064278,10756748288,17789898752,40191516672,25736075264,21864701952,11737591808,9801853952,5172713472
1. Trả trước ngắn,25561564271,32032873971,28345276355,21081856490,18897599281,21275206737,14690447772,8286725632,3957354240,3247555072,2508843776,2048123904,3677305856,3037167360,972737216
2. Thuế VAT phải thu,111868928412,124628269153,97404425420,123666085695,65917582112,27535605622,9112616506,1177133312,7967079936,5472792064,11357508608,13172504576,489001152,50747860,3329903872
